,Date,Torn Spotlight Search
0,2024-06-29,2.0
1,2024-06-30,3.0
2,2024-07-01,0.0
3,2024-07-02,0.0
4,2024-07-03,0.0
5,2024-07-04,0.0
6,2024-07-05,2.0
7,2024-07-06,2.0
8,2024-07-06,3.0
9,2024-07-07,0.0
10,2024-07-08,0.0
11,2024-07-09,0.0
12,2024-07-10,3.0
13,2024-07-11,0.0
12,2024-07-11,1.0
13,2024-07-12,0.0
14,2024-07-13,1.0
15,2024-07-14,1.0
16,2024-07-15,1.0
17,2024-07-16,1.0
18,2024-07-17,0.0
19,2024-07-18,0.0
20,2024-07-19,0.0
21,2024-07-20,0.0
22,2024-07-21,0.0
23,2024-07-22,0.0
24,2024-07-23,1.0
25,2024-07-24,0.0
26,2024-07-25,0.0
27,2024-07-26,3.0
28,2024-07-27,1.0
29,2024-07-28,0.0
30,2024-07-29,0.0
31,2024-07-30,0.0
32,2024-07-31,0.0
33,2024-08-01,0.0
34,2024-08-02,0.0
35,2024-08-03,0.0
36,2024-08-04,0.0
37,2024-08-05,1.0
38,2024-08-06,0.0
39,2024-08-07,2.0
40,2024-08-08,1.0
41,2024-08-09,0.0
42,2024-08-10,2.0
43,2024-08-11,0.0
44,2024-08-12,0.0
45,2024-08-13,0.0
46,2024-08-14,0.0
47,2024-08-15,0.0
48,2024-08-16,1.0
49,2024-08-17,1.0
50,2024-08-18,0.0
51,2024-08-19,0.0
52,2024-08-20,0.0
53,2024-08-21,1.0
54,2024-08-22,0.0
55,2024-08-23,0.0
56,2024-08-24,0.0
57,2024-08-25,0.0
58,2024-08-26,0.0
59,2024-08-27,0.0
60,2024-08-28,0.0
61,2024-08-29,0.0
62,2024-08-30,1.0
63,2024-08-31,0.0
64,2024-09-01,0.0
65,2024-09-02,1.0
66,2024-09-03,0.0
67,2024-09-04,0.0
68,2024-09-05,0.0
69,2024-09-06,1.0
70,2024-09-07,0.0
71,2024-09-08,0.0
72,2024-09-09,0.0
73,2024-09-10,0.0
74,2024-09-11,0.0
75,2024-09-12,1.0
76,2024-09-13,0.0
77,2024-09-14,0.0
78,2024-09-15,0.0
79,2024-09-16,1.0
80,2024-09-17,0.0
81,2024-09-18,0.0
82,2024-09-19,0.0
83,2024-09-20,0.0
84,2024-09-21,0.0
85,2024-09-22,0.0
86,2024-09-23,0.0
87,2024-09-24,0.0
88,2024-09-25,0.0
89,2024-09-26,0.0
90,2024-09-27,0.0
91,2024-09-28,0.0
92,2024-09-29,0.0
93,2024-09-30,0.0
94,2024-10-01,0.0
95,2024-10-02,0.0
96,2024-10-03,0.0
97,2024-10-04,0.0
98,2024-10-05,0.0
99,2024-10-06,0.0
100,2024-10-07,0.0
101,2024-10-08,0.0
102,2024-10-09,0.0
103,2024-10-10,0.0
104,2024-10-11,0.0
105,2024-10-12,0.0
106,2024-10-13,1.0
107,2024-10-14,0.0
108,2024-10-15,0.0
109,2024-10-16,0.0
110,2024-10-17,0.0
111,2024-10-18,0.0
112,2024-10-19,0.0
113,2024-10-20,0.0
114,2024-10-21,0.0
115,2024-10-22,0.0
116,2024-10-23,0.0
117,2024-10-24,2.0
118,2024-10-25,1.0
119,2024-10-26,0.0
120,2024-10-27,0.0
121,2024-10-28,2.0
122,2024-10-29,0.0
123,2024-10-30,0.0
124,2024-10-31,1.0
125,2024-11-01,0.0
126,2024-11-02,0.0
127,2024-11-03,1.0
128,2024-11-04,0.0
129,2024-11-05,0.0
130,2024-11-06,0.0
131,2024-11-07,0.0
132,2024-11-08,0.0
133,2024-11-09,0.0
134,2024-11-10,1.0
135,2024-11-11,0.0
136,2024-11-12,0.0
137,2024-11-13,0.0
138,2024-11-14,0.0
139,2024-11-15,0.0
140,2024-11-16,0.0
141,2024-11-17,0.0
142,2024-11-18,0.0
143,2024-11-19,1.0
144,2024-11-20,0.0
145,2024-11-21,0.0
146,2024-11-22,0.0
147,2024-11-23,0.0
148,2024-11-24,1.0
149,2024-11-25,0.0
