Date,Installs,Update checks
2024-06-29,2,0
2024-06-30,3,0
2024-07-01,0,0
2024-07-02,0,1
2024-07-03,0,0
2024-07-04,0,1
2024-07-05,2,0
2024-07-06,3,1
2024-07-07,0,1
2024-07-08,0,2
2024-07-09,0,2
2024-07-10,3,4
2024-07-11,1,5
2024-07-12,0,7
2024-07-13,1,5
2024-07-14,1,4
2024-07-15,1,6
2024-07-16,1,6
2024-07-17,0,7
2024-07-18,0,5
2024-07-19,0,6
2024-07-20,0,5
2024-07-21,0,7
2024-07-22,0,4
2024-07-23,1,4
2024-07-24,0,4
2024-07-25,0,6
2024-07-26,3,6
2024-07-27,1,3
2024-07-28,0,8
2024-07-29,0,4
2024-07-30,0,6
2024-07-31,0,6
2024-08-01,0,4
2024-08-02,0,6
2024-08-03,0,8
2024-08-04,0,6
2024-08-05,1,8
2024-08-06,0,8
2024-08-07,2,7
2024-08-08,1,9
2024-08-09,0,8
2024-08-10,2,7
2024-08-11,0,7
2024-08-12,0,10
2024-08-13,0,8
2024-08-14,0,8
2024-08-15,0,2
2024-08-16,1,8
2024-08-17,1,6
2024-08-18,0,5
2024-08-19,0,12
2024-08-20,0,9
2024-08-21,1,4
2024-08-22,0,9
2024-08-23,0,9
2024-08-24,0,4
2024-08-25,0,4
2024-08-26,0,7
2024-08-27,0,8
2024-08-28,0,6
2024-08-29,0,7
2024-08-30,1,7
2024-08-31,0,10
2024-09-01,0,7
2024-09-02,1,10
2024-09-03,0,10
2024-09-04,0,10
2024-09-05,0,6
2024-09-06,1,8
2024-09-07,0,6
2024-09-08,0,7
2024-09-09,0,9
2024-09-10,0,9
2024-09-11,0,6
2024-09-12,1,6
2024-09-13,0,6
2024-09-14,0,4
2024-09-15,0,8
2024-09-16,1,9
2024-09-17,0,6
2024-09-18,0,3
2024-09-19,0,0
2024-09-20,0,8
2024-09-21,0,8
2024-09-22,0,8
2024-09-23,0,8
2024-09-24,0,7
2024-09-25,0,8
2024-09-26,0,5
2024-09-27,0,7
2024-09-28,0,6
2024-09-29,0,9
2024-09-30,0,10
2024-10-01,0,11
2024-10-02,0,7
2024-10-03,0,10
2024-10-04,0,6
2024-10-05,0,7
2024-10-06,0,9
2024-10-07,0,9
2024-10-08,0,7
2024-10-09,0,8
2024-10-10,0,7
2024-10-11,0,6
2024-10-12,0,6
2024-10-13,1,6
2024-10-14,0,5
2024-10-15,0,4
2024-10-16,0,4
2024-10-17,0,4
2024-10-18,0,7
2024-10-19,0,5
2024-10-20,0,5
2024-10-21,0,5
2024-10-22,0,5
2024-10-23,0,7
2024-10-24,2,4
2024-10-25,1,7
2024-10-26,0,6
2024-10-27,0,6
2024-10-28,2,6
2024-10-29,0,7
2024-10-30,0,6
2024-10-31,1,5
2024-11-01,0,7
2024-11-02,0,6
2024-11-03,1,5
2024-11-04,0,9
2024-11-05,0,7
2024-11-06,0,6
2024-11-07,0,5
2024-11-08,0,6
2024-11-09,0,10
2024-11-10,1,6
2024-11-11,0,8
2024-11-12,0,5
2024-11-13,0,7
2024-11-14,0,7
2024-11-15,0,8
2024-11-16,0,7
2024-11-17,0,4
2024-11-18,0,4
2024-11-19,1,6
2024-11-20,0,11
2024-11-21,0,8
2024-11-22,0,9
2024-11-23,0,8
2024-11-24,1,5
2024-11-25,0,3
